Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,EMA,MACD Histogram,VWAP,Upper BB,Lower BB,Stochastic Oscillator,ATR,OBV,MFI,CMF
1999-02-01,128.6875,128.6875,126.90625,126.90625,80.79678344726562,9426800,125.0859375,57.2479759770822,125.4596257067612,0.27013594905894656,124.87118764244678,128.9068608414086,121.2650141585914,78.57142857142857,2.7734375,-7303200.0,51.68819350635485,0.042831404654454584
1999-02-02,127.078125,127.21875,124.765625,126.125,80.29934692382812,9194500,125.240625,54.41302404261774,125.56199098264409,0.21750059719313963,124.94322060990262,128.96046534214543,121.52078465785456,69.17293233082707,2.75,-16497700.0,50.95788439795661,0.06520437494661127
1999-02-03,125.6875,127.9375,125.65625,127.40625,81.1151123046875,10290700,125.3890625,58.07943562092784,125.84572313916038,0.2505228855968674,125.09202673764611,129.20953383656996,121.56859116343004,83.53413654618474,2.5736607142857144,-6207000.0,60.78974119610978,0.07139563833635064
1999-02-04,127.375,127.5,124.78125,125.5,79.90147399902344,7761100,125.2921875,51.44946023188256,125.79253496390494,0.13151284478177727,125.1098058602824,128.99025303938038,121.59412196061963,53.84615384615385,2.5535714285714284,-13968100.0,62.724900956708424,0.012661464917927885
1999-02-05,125.65625,125.65625,123.21875,124.0625,78.98627471923828,7516100,125.1546875,47.08450109994612,125.5263757386888,-0.04693462609874688,125.06739579662967,128.81908743606692,121.49028756393305,33.03167420814479,2.4732142857142856,-21484200.0,55.42149154877772,-0.01788745921182703
1999-02-08,125.09375,125.09375,123.34375,124.3125,79.14546203613281,8528400,124.9828125,47.912162169544544,125.33962562504436,-0.1454825341568271,125.03423330531183,128.4519240269164,121.51370097308359,36.65158371040724,2.4464285714285716,-12955800.0,48.22202062522648,-0.02794480968587963
1999-02-09,124.375,124.5,121.515625,121.53125,77.37469482421875,8985700,124.7328125,40.350705493441765,124.75372168272985,-0.38190060929029,124.87926874904922,128.4442632089724,121.0213617910276,0.2178649237472767,2.4520089285714284,-21941500.0,41.11219371196287,-0.08678577763125757
1999-02-10,122.125,123.0,121.328125,122.3125,77.87210083007812,6936700,124.6359375,43.0686815412096,124.37814911615602,-0.4641187519072381,124.79450730211512,128.49851707463594,120.77335792536405,13.375796178343949,2.314732142857143,-15004800.0,41.145245300912585,-0.05013927621920587
1999-02-11,123.0625,126.09375,122.5,125.125,79.6626968383789,9181800,124.7234375,51.6159896628768,124.49304925213202,-0.31468990313012624,124.80834832921154,128.54481279278264,120.90206220721737,51.59235668789809,2.4375,-5823000.0,48.836798063632706,-0.04178078458368157
1999-02-12,124.8125,125.5,122.625,123.625,78.70771026611328,10676600,124.84375,47.518444530760476,124.35950321334249,-0.30239894833677816,124.7533975652778,128.3380475161796,121.34945248382039,31.210191082802545,2.4933035714285716,-16499600.0,41.8106382343565,-0.004808398526684041
